2021-01-21,35468.23,35600.00,30071.00,30850.13,131803.18292600
2021-01-22,30851.99,33826.53,28850.00,32945.17,142971.68404900
2021-01-23,32950.00,33456.00,31390.16,32078.00,64595.28767500
2021-01-24,32078.00,33071.00,30900.00,32259.90,57978.03796600
2021-01-25,32259.45,34875.0,31910.0,32254.2,88499.226921
2021-01-22,30851.99,33826.53,28850.0,32945.17,142971.684049
2021-01-23,32950.0,33456.0,31390.16,32078.0,64595.287675
2021-01-24,32078.0,33071.0,30900.0,32259.9,57978.037966
2021-01-25,32259.45,34875.0,31910.0,32254.2,88499.226921
2021-01-26,32254.19,32921.88,30837.37,32467.77,84972.20691
2021-01-27,32474.81,32562.2,29240.0,30381.04,431022.839
2021-01-28,30362.19,33783.98,29842.1,33364.86,92621.145617
2021-01-29,33368.18,38531.9,31915.4,34252.2,231827.005626
2021-01-30,34246.28,34933.0,32825.0,34262.88,84889.68134
2021-01-31,34262.89,34342.69,32171.67,33092.98,68742.280384
2021-02-01,33092.97,34717.27,32296.16,33526.37,82718.276882
2021-02-02,33517.09,35984.33,33418.0,35466.24,78056.65988
2021-02-03,35472.71,37662.63,35362.38,37618.87,80784.333663
2021-02-04,37620.26,38708.27,36161.95,36936.66,92080.735898
2021-02-05,36936.65,38310.12,36570.0,38290.24,66681.334275
2021-02-06,38289.32,40955.51,38215.94,39186.94,98757.311183
2021-02-07,39181.01,39700.0,37351.0,38795.69,84363.679763
2021-02-08,38795.69,46794.45,37988.89,46374.87,138597.536914
2021-02-09,46374.86,48142.19,44961.09,46420.42,115499.861712
2021-02-10,46420.42,47310.0,43727.0,44807.58,97154.1822
2021-02-11,44807.58,48678.9,43994.02,47969.51,89561.081454
2021-02-12,47968.66,48985.8,46125.0,47287.6,85870.035697
2021-02-13,47298.15,48150.0,46202.53,47153.69,63768.097399
2021-02-14,47156.78,49707.43,47014.17,48577.79,73735.475533
2021-02-15,48580.47,49010.92,45570.79,47911.1,79398.156784
2021-02-16,47911.1,50689.18,47003.62,49133.45,88813.266298
2021-02-17,49133.45,52618.74,48947.0,52119.71,85743.637818
2021-02-18,52117.67,52530.0,50901.9,51552.6,60758.046954
2021-02-19,51552.61,56368.0,50710.2,55906.0,79659.77802
2021-02-20,55906.0,57700.46,53863.93,55841.19,80948.205314
2021-02-21,55841.19,58352.8,55477.59,57408.57,58166.708511
2021-02-22,57412.35,57508.47,47622.0,54087.67,134019.434944
2021-02-23,54087.67,54183.59,44892.56,48891.0,169375.025051
2021-02-24,48891.0,51374.99,46988.69,49676.2,91881.209252
2021-02-25,49676.21,52041.73,46674.34,47073.73,83310.673121
2021-02-26,47073.73,48424.11,44106.78,46276.87,109423.200663
2021-02-27,46276.88,48394.0,45000.0,46106.43,66060.834292
2021-02-28,46103.67,46638.46,43000.0,45135.66,83055.369042
2021-03-01,45134.11,49790.0,44950.53,49587.03,85086.111648
2021-03-02,49595.76,50200.0,47047.6,48440.65,64221.06214
2021-03-03,48436.61,52640.0,48100.71,50349.37,81035.913705
2021-03-04,50349.37,51773.88,47500.0,48374.09,82649.716829
2021-03-05,48374.09,49448.93,46300.0,48751.71,78192.496372
2021-03-06,48746.81,49200.0,47070.0,48882.2,44399.234242
2021-03-07,48882.2,51450.03,48882.2,50971.75,55235.028032
2021-03-08,50959.11,52402.78,49274.67,52375.17,66987.359664
2021-03-09,52375.18,54895.0,51789.41,54884.5,71656.737076
2021-03-10,54874.67,57387.69,53005.0,55851.59,84749.238943
2021-03-11,55851.59,58150.0,54272.82,57773.16,81914.812859
2021-03-12,57773.15,58081.51,54962.84,57221.72,73405.406047
2021-03-13,57221.72,61844.0,56078.23,61188.39,83245.091346
2021-03-14,61188.38,61724.79,58966.78,58968.31,52601.05275
2021-03-15,58976.08,60633.43,54600.0,55605.2,102771.427298
2021-03-16,55605.2,56938.29,53271.34,56900.75,77986.694355
2021-03-17,56900.74,58974.73,54123.69,58912.97,70421.620841
2021-03-18,58912.97,60129.97,57023.0,57648.16,66580.406675
2021-03-19,57641.0,59468.0,56270.74,58030.01,52392.652961
2021-03-20,58030.01,59880.0,57820.17,58102.28,44476.941776
2021-03-21,58100.02,58589.1,55450.11,57351.56,48564.470274
2021-03-22,57351.56,58430.73,53650.0,54083.25,62581.626169
2021-03-23,54083.25,55830.9,53000.0,54340.89,59789.365427
2021-03-24,54342.8,57200.0,51700.0,52303.65,83537.465021
2021-03-25,52303.66,53287.0,50427.56,51293.78,87400.534538
2021-03-26,51293.78,55073.46,51214.6,55025.59,63813.774692
2021-03-27,55025.59,56700.36,53950.0,55817.14,50105.475055
2021-03-28,55817.14,56559.75,54691.84,55777.63,39050.387511
2021-03-29,55777.65,58405.82,54800.01,57635.47,67857.937398
2021-03-30,57635.46,59368.0,57071.35,58746.57,55122.443122
2021-03-31,58746.57,59800.0,56769.0,58740.55,60975.542666
2021-04-01,58739.46,59490.0,57935.45,58720.44,47415.61722
2021-04-02,58720.45,60200.0,58428.57,58950.01,47382.418781
2021-04-03,58950.01,59791.72,56880.0,57051.94,47409.852113
2021-04-04,57051.95,58492.85,56388.0,58202.01,41314.081973
2021-04-05,58202.01,59272.0,56777.77,59129.99,54258.01579
2021-04-06,59129.99,59495.24,57413.02,57991.15,54201.000727
2021-04-07,57990.03,58655.0,55473.0,55953.45,71228.405659
2021-04-08,55953.44,58153.31,55700.0,58077.52,44283.147019
2021-04-09,58077.52,58894.9,57654.0,58142.54,40831.884911
2021-04-10,58142.55,61500.0,57900.01,59769.13,69906.424117
2021-04-11,59769.13,60699.0,59232.52,60002.43,41156.715391
2021-04-12,59998.8,61300.0,59350.59,59860.0,56375.037117
2021-04-13,59860.01,63777.77,59805.15,63575.0,82848.688746
2021-04-14,63575.01,64854.0,61301.0,62959.53,82616.343993
2021-04-15,62959.53,63800.0,62020.0,63159.98,51649.70034
2021-04-16,63158.74,63520.61,60000.0,61334.8,91764.139884
2021-04-17,61334.81,62506.05,59580.91,60006.66,58912.256128
2021-04-18,60006.67,60499.0,50931.3,56150.01,124882.131824
2021-04-19,56150.01,57526.81,54221.58,55633.14,78229.042267
2021-04-20,55633.14,57076.24,53329.96,56425.0,72744.482151
2021-04-21,56425.0,56757.91,53536.02,53787.63,66984.756909
2021-04-22,53787.62,55521.48,50500.0,51690.96,104656.631337
2021-04-23,51690.95,52131.85,47500.0,51125.14,132230.780719
2021-04-24,51110.56,51166.22,48657.14,50047.84,55361.512573
2021-04-25,50047.84,50452.85,49716.41,50313.8,4787.770176
